Year,FIPS,DMax
2000,01001,4
2000,01003,4
2000,01005,4
2000,01007,4
2000,01009,4
2000,01011,4
2000,01013,4
2000,01015,4
2000,01017,4
2000,01019,4
2000,01021,4
2000,01023,4
2000,01025,4
2000,01027,4
2000,01029,4
2000,01031,4
2000,01033,4
2000,01035,4
2000,01037,4
2000,01039,4
2000,01041,4
2000,01043,4
2000,01045,4
2000,01047,4
2000,01049,4
2000,01051,4
2000,01053,4
2000,01055,4
2000,01057,4
2000,01059,4
2000,01061,4
2000,01063,4
2000,01065,4
2000,01067,4
2000,01069,4
2000,01071,4
2000,01073,4
2000,01075,4
2000,01077,4
2000,01079,4
2000,01081,4
2000,01083,4
2000,01085,4
2000,01087,4
2000,01089,4
2000,01091,4
2000,01093,4
2000,01095,4
2000,01097,4
2000,01099,4
2000,01101,4
2000,01103,4
2000,01105,4
2000,01107,4
2000,01109,4
2000,01111,4
2000,01113,4
2000,01115,4
2000,01117,4
2000,01119,4
2000,01121,4
2000,01123,4
2000,01125,4
2000,01127,4
2000,01129,4
2000,01131,4
2000,01133,4
2000,02013,0
2000,02016,0
2000,02020,0
2000,02050,0
2000,02060,0
2000,02068,0
2000,02070,0
2000,02090,0
2000,02100,0
2000,02110,0
2000,02122,0
2000,02130,0
2000,02150,0
2000,02164,0
2000,02170,0
2000,02180,0
2000,02185,0
2000,02188,0
2000,02201,0
2000,02220,0
2000,02232,0
2000,02240,0
2000,02261,0
2000,02270,0
2000,02280,0
2000,02282,0
2000,02290,0
2000,04001,2
2000,04003,2
2000,04005,2
2000,04007,1
2000,04009,2
2000,04011,2
2000,04012,1
2000,04013,1
2000,04015,2
2000,04017,2
2000,04019,1
2000,04021,1
2000,04023,1
2000,04025,1
2000,04027,1
2000,05001,4
2000,05003,3
2000,05005,2
2000,05007,1
2000,05009,2
2000,05011,3
2000,05013,3
2000,05015,2
2000,05017,3
2000,05019,2
2000,05021,3
2000,05023,3
2000,05025,3
2000,05027,2
2000,05029,3
2000,05031,3
2000,05033,2
2000,05035,4
2000,05037,3
2000,05039,3
2000,05041,4
2000,05043,3
2000,05045,3
2000,05047,2
2000,05049,2
2000,05051,2
2000,05053,3
2000,05055,3
2000,05057,2
2000,05059,2
2000,05061,2
2000,05063,3
2000,05065,3
2000,05067,3
2000,05069,4
2000,05071,2
2000,05073,2
2000,05075,3
2000,05077,4
2000,05079,4
2000,05081,2
2000,05083,2
2000,05085,4
2000,05087,2
2000,05089,2
2000,05091,2
2000,05093,3
2000,05095,4
2000,05097,2
2000,05099,2
2000,05101,2
2000,05103,2
2000,05105,3
2000,05107,4
2000,05109,2
2000,05111,3
2000,05113,2
2000,05115,2
2000,05117,4
2000,05119,3
2000,05121,3
2000,05123,4
2000,05125,3
2000,05127,2
2000,05129,2
2000,05131,2
2000,05133,2
2000,05135,3
2000,05137,3
2000,05139,3
2000,05141,3
2000,05143,2
2000,05145,3
2000,05147,4
2000,05149,2
2000,06001,0
2000,06003,0
2000,06005,0
2000,06007,0
2000,06009,0
2000,06011,0
2000,06013,0
2000,06015,0
2000,06017,0
2000,06019,0
2000,06021,0
2000,06023,0
2000,06025,1
2000,06027,0
2000,06029,0
2000,06031,0
2000,06033,0
2000,06035,0
2000,06037,0
2000,06039,0
2000,06041,0
2000,06043,0
2000,06045,0
2000,06047,0
2000,06049,0
2000,06051,0
2000,06053,0
2000,06055,0
2000,06057,0
2000,06059,0
2000,06061,0
2000,06063,0
2000,06065,1
2000,06067,0
2000,06069,0
2000,06071,1
2000,06073,0
2000,06075,0
2000,06077,0
2000,06079,0
2000,06081,0
2000,06083,0
2000,06085,0
2000,06087,0
2000,06089,0
2000,06091,0
2000,06093,0
2000,06095,0
2000,06097,0
2000,06099,0
2000,06101,0
2000,06103,0
2000,06105,0
2000,06107,0
2000,06109,0
2000,06111,0
2000,06113,0
2000,06115,0
2000,08001,1
2000,08003,1
2000,08005,1
2000,08007,1
2000,08009,2
2000,08011,1
2000,08013,1
2000,08014,1
2000,08015,0
2000,08017,1
2000,08019,1
2000,08021,1
2000,08023,1
2000,08025,0
2000,08027,0
2000,08029,1
2000,08031,1
2000,08033,1
2000,08035,1
2000,08037,1
2000,08039,1
2000,08041,0
2000,08043,0
2000,08045,1
2000,08047,1
2000,08049,1
2000,08051,1
2000,08053,1
2000,08055,0
2000,08057,1
2000,08059,1
2000,08061,1
2000,08063,2
2000,08065,1
2000,08067,1
2000,08069,1
2000,08071,2
2000,08073,1
2000,08075,2
2000,08077,1
2000,08079,1
2000,08081,1
2000,08083,1
2000,08085,1
2000,08087,1
2000,08089,0
